product_name,current_contract_status,Shop,revenu_range,depenses_mensuelles,depenses_recurrentes,motivation_kit,kit_concurrence,cout_kit_credit,duree_pret_comprise,montant_correspondant,accord_penalites_retard,informer_code_ussd,numero_cx_communique,informer_5j_arrieres_45j,informer_90j_retard,metier,activite_professionnelle,traite_comprise
0,0,17,0,150000,1,1,0,1,1,0,1,1,1,1,1,1,1,1
0,0,17,1,150000,0,5,0,1,1,1,1,1,1,1,1,0,8,1
0,0,10,1,150000,1,1,0,1,1,1,1,1,1,0,1,0,0,1
0,0,9,0,150000,0,1,0,1,1,1,1,1,1,1,1,0,1,1
0,0,3,2,150000,0,5,0,1,1,1,1,1,0,1,1,1,3,1
0,0,15,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,2,1
0,1,9,1,150000,1,5,0,1,1,1,1,1,1,1,1,0,3,1
0,1,9,1,150000,1,5,0,1,1,1,1,1,1,1,1,0,0,1
0,1,10,2,150000,0,2,0,1,1,0,1,1,1,1,1,1,4,1
0,0,13,0,150000,0,5,0,1,1,1,0,1,1,0,0,1,1,1
0,1,4,2,150000,0,5,0,1,1,1,0,1,1,1,1,0,2,1
0,1,15,2,150000,1,5,0,1,1,1,1,1,1,1,1,1,1,1
0,0,14,3,150000,1,4,0,1,1,1,1,1,1,1,1,1,1,1
0,1,4,1,150000,0,4,1,1,1,1,1,1,1,1,1,1,2,1
0,0,2,2,150000,0,1,0,1,1,0,1,1,1,1,1,0,1,1
0,0,0,3,150000,1,5,1,1,1,1,1,1,1,1,1,1,8,1
0,1,9,1,150000,1,5,0,1,1,1,1,1,1,1,1,0,3,1
0,1,9,1,150000,1,5,0,1,1,1,1,1,1,1,1,0,0,1
0,0,3,0,150000,1,0,0,1,1,1,1,1,1,1,1,1,3,1
0,1,0,0,150000,0,5,0,1,1,1,0,1,1,1,1,0,0,1
0,0,7,0,150000,0,5,0,1,1,1,0,1,1,1,1,0,1,1
0,0,5,3,150000,0,0,0,1,1,1,1,1,1,1,1,1,1,1
0,0,7,1,150000,0,0,0,1,1,1,1,1,1,1,1,0,3,1
0,1,4,2,150000,0,5,1,1,1,1,1,1,1,1,1,1,1,1
0,0,9,1,150000,0,5,0,1,1,1,1,1,1,1,1,1,9,1
0,0,6,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,1,1
0,0,6,2,150000,1,1,0,1,1,0,0,1,1,1,1,0,1,1
0,1,0,2,150000,0,1,0,1,1,1,1,1,1,1,1,0,3,1
0,1,12,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,7,1
0,1,4,3,150000,0,5,0,1,1,1,1,1,1,1,1,1,3,1
0,0,0,3,150000,0,1,0,1,1,0,1,1,1,1,1,0,3,1
0,1,3,0,150000,1,5,0,1,1,1,1,1,1,1,1,1,2,1
0,1,2,0,150000,0,1,0,1,1,1,0,1,1,1,1,0,0,1
0,0,6,1,150000,0,5,1,1,1,1,1,1,1,1,1,1,3,1
0,1,13,2,150000,1,5,0,1,1,1,1,1,1,1,1,0,0,1
0,0,2,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,3,1
0,1,10,3,150000,0,2,1,1,1,0,0,1,1,1,1,0,0,1
0,1,5,2,150000,0,5,0,1,1,1,0,1,1,1,1,0,0,1
0,0,2,0,150000,1,5,0,1,1,1,0,1,1,1,1,0,1,1
0,1,7,1,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,0,13,3,150000,1,2,0,1,1,1,1,1,1,1,1,1,2,1
0,1,12,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,2,1
0,0,15,3,150000,0,5,1,1,1,1,1,1,1,1,1,1,4,1
0,1,3,0,150000,0,0,0,1,1,1,0,1,1,1,1,1,4,1
0,0,9,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,0,1
0,0,5,3,150000,1,5,0,1,0,1,1,1,1,1,1,1,5,1
0,1,3,0,150000,1,0,0,1,1,1,0,1,1,1,1,1,1,1
0,0,8,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,0,1
0,0,9,1,150000,1,5,0,1,1,1,1,1,1,1,1,0,0,1
0,0,5,3,150000,0,5,0,1,1,1,1,1,1,1,1,0,0,1
0,1,7,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,3,1
0,1,2,3,150000,1,5,0,1,1,1,1,1,1,1,1,1,2,1
0,1,0,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,0,1
0,1,0,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,15,1,150000,0,8,0,1,1,1,1,1,1,1,1,1,3,1
0,1,15,0,150000,0,0,0,1,1,1,0,1,1,1,0,0,0,1
0,1,9,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,0,1
0,0,16,3,150000,0,0,0,1,1,1,0,1,1,1,1,0,0,1
0,1,4,1,150000,1,5,1,1,1,1,1,1,1,1,1,1,10,1
0,1,7,2,150000,0,5,0,1,1,1,1,1,1,1,1,1,1,1
0,0,10,3,150000,0,5,0,1,1,1,1,1,1,1,1,1,8,1
0,1,15,0,150000,0,8,0,1,1,1,1,1,1,1,1,0,1,1
0,1,15,3,150000,1,4,1,1,1,1,1,1,1,1,1,1,2,1
0,1,3,0,150000,1,5,0,1,1,1,1,1,1,1,1,1,1,1
0,1,3,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,3,1
0,0,3,3,150000,0,5,0,1,1,1,0,1,1,1,1,1,1,1
0,0,13,3,150000,0,8,0,1,1,1,1,1,1,1,1,0,0,1
0,1,8,0,150000,0,3,0,1,1,1,1,1,1,1,1,0,11,1
0,1,5,0,150000,0,0,0,1,1,1,1,1,1,1,1,0,2,1
0,1,9,3,150000,0,5,0,1,1,1,1,1,1,1,1,0,0,1
0,1,7,2,150000,0,0,0,1,1,1,0,1,1,1,1,1,1,1
0,1,14,0,150000,1,0,0,1,1,1,0,1,1,1,1,0,1,1
0,1,4,1,150000,1,8,0,1,1,1,1,1,1,1,1,1,3,1
0,1,15,2,150000,1,8,0,1,1,1,1,1,1,1,1,1,8,1
0,1,14,1,150000,0,0,0,1,1,1,1,0,1,1,1,1,0,1
0,1,2,0,150000,1,5,0,1,1,1,1,1,1,1,1,0,11,1
0,1,13,1,150000,0,5,0,1,1,1,1,1,1,1,1,0,4,1
0,1,12,0,150000,0,0,0,1,1,1,0,1,1,1,1,1,4,1
0,1,12,2,150000,0,8,0,1,1,1,1,1,1,1,1,1,5,1
0,1,14,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,15,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,0,1,150000,0,4,0,1,1,1,1,1,1,1,1,1,1,1
0,1,13,1,150000,1,0,0,1,1,1,1,1,1,1,1,1,10,1
0,1,14,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,0,1
0,1,9,1,150000,0,3,0,1,1,1,1,1,1,1,1,1,3,1
0,1,9,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,2,1
0,1,3,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,3,1
0,1,13,1,150000,0,0,0,1,1,1,1,1,1,1,1,1,8,1
0,0,6,1,150000,0,3,0,1,1,1,1,1,1,1,1,1,1,1
0,1,14,0,150000,1,0,0,1,1,1,0,1,1,1,1,0,0,1
0,0,16,3,150000,0,0,0,1,1,1,1,1,1,1,1,0,11,1
0,1,13,0,150000,0,0,0,1,1,1,0,1,1,1,1,0,0,1
